Depth (m),Density (g/cc),DTCO (us/ft),DTSM (us/ft),Vp(0) (m/s),Vs(0) (m/s),v_iso_d,E_iso_d (Mpsi),Ev_d (Mpsi),Eh_d (Mpsi),vv_d,vh_d,Porosity,C11,C12,C13,C33,C44,Min Stress,Max Stress
4050.38,2.57,67.96,141.73,4485.03,2150.5,0.35,4.66,4.94,6.8,0.29,0.31,0.154032002,10.07559451,4.884396422,4.387006753,7.508811565,1.726314984,9846.695358,11839.99014
4050.5,2.57,68.25,140.34,4466.06,2171.93,0.35,4.73,4.99,6.87,0.29,0.31,0.151588001,10.00452525,4.745719084,4.252658147,7.439641276,1.759529091,9742.464208,11735.82051
4050.63,2.55,69.93,139.39,4358.67,2186.63,0.33,4.72,4.92,6.83,0.28,0.3,0.147147999,9.582713489,4.311670125,3.835357279,7.036542666,1.770931943,9522.877068,11516.29488
4050.75,2.53,71.96,139.22,4235.57,2189.32,0.32,4.64,4.79,6.74,0.26,0.29,0.130844002,9.111733054,3.875121201,3.416900144,6.590052211,1.760686563,9303.189758,11296.66909
4050.88,2.52,72.89,139.74,4181.76,2181.13,0.31,4.56,4.69,6.64,0.26,0.28,0.082980003,8.882833947,3.708359781,3.258849932,6.380519446,1.735808158,9239.360274,11232.90112
4051,2.49,72.54,139.97,4201.62,2177.56,0.32,4.51,4.65,6.57,0.26,0.29,0.076148,8.852086641,3.742713555,3.295403715,6.374688554,1.712250321,9290.993453,11284.59581
4051.13,2.5,71.65,138.07,4254.04,2207.5,0.32,4.66,4.81,6.73,0.26,0.29,0.071566,9.065002079,3.828483325,3.374406706,6.57149637,1.76955633,9262.630514,11256.29439
4051.25,2.51,70.27,134.46,4337.59,2266.81,0.31,4.92,5.07,7.02,0.26,0.29,0.068906002,9.36906888,3.910970773,3.447923377,6.862194501,1.874121854,9171.503634,11165.22903
4051.38,2.52,68.61,132.99,4442.37,2291.98,0.32,5.07,5.25,7.18,0.27,0.29,0.067481999,9.732806254,4.173923048,3.698816613,7.217781192,1.921292883,9254.652804,11248.43971
4051.5,2.53,67.55,134.3,4512.41,2269.47,0.33,5.03,5.25,7.14,0.28,0.3,0.06625,9.993432683,4.493750437,4.0089639,7.470799782,1.889717765,9455.000293,11448.84872
4051.63,2.52,67.51,135.8,4514.88,2244.49,0.34,4.92,5.16,7.03,0.28,0.3,0.066442003,9.969950669,4.572030368,4.087532582,7.455327796,1.84250842,9551.788497,11545.69844
4051.75,2.51,68.2,135.26,4468.91,2253.48,0.33,4.92,5.13,7.01,0.28,0.3,0.068752003,9.77640602,4.37187212,3.89484638,7.272386802,1.849196566,9446.877095,11440.84855
4051.88,2.5,69.05,134.51,4413.95,2266.08,0.32,4.91,5.1,7,0.27,0.29,0.073355999,9.545029625,4.12848464,3.66048181,7.055056903,1.859492819,9308.684392,11302.71736
4052,2.48,69.58,134.14,4380.34,2272.19,0.32,4.89,5.05,6.96,0.26,0.29,0.079856,9.377167516,3.974959782,3.513728624,6.903480891,1.857551373,9227.261215,11221.3557
4052.13,2.47,69.32,131.71,4396.7,2314.23,0.31,5.02,5.17,7.09,0.26,0.28,0.087279997,9.387194835,3.868287695,3.408078099,6.924296713,1.918384006,9088.500723,11082.65673
4052.25,2.47,67.73,127.84,4500.38,2384.32,0.3,5.32,5.48,7.4,0.26,0.28,0.094496002,9.721555558,3.961812719,3.490376681,7.257646999,2.037159596,8995.458646,10989.67617
4052.38,2.48,65.72,125.74,4637.68,2424.09,0.31,5.54,5.74,7.63,0.26,0.29,0.098478003,10.19280943,4.28107963,3.793829397,7.725962533,2.110809826,9079.603938,11073.88297
4052.5,2.49,64.64,124.79,4715.6,2442.56,0.32,5.67,5.9,7.78,0.27,0.29,0.099317999,10.50618987,4.498463035,4.00040663,8.029690405,2.154343188,9139.128779,11133.46933
4052.63,2.5,64.7,124.42,4710.81,2449.7,0.31,5.73,5.95,7.85,0.27,0.29,0.097455997,10.55333816,4.484029535,3.983167775,8.061677286,2.18002229,9105.323415,11099.72548
4052.75,2.52,65.69,124.99,4639.77,2438.69,0.31,5.69,5.88,7.81,0.26,0.29,0.09368,10.37272467,4.308797842,3.812569587,7.864107915,2.172545417,9028.72877,11023.19235
4052.88,2.52,66.73,125.15,4567.47,2435.49,0.3,5.65,5.81,7.77,0.25,0.28,0.091008005,10.14370926,4.083972081,3.594486308,7.629998298,2.169429122,8915.4583,10909.9834
4053,2.49,67.36,125.09,4525.1,2436.55,0.3,5.57,5.72,7.68,0.25,0.28,0.091906004,9.900428885,3.899436947,3.41915395,7.411875252,2.148929495,8834.617149,10829.20376
4053.13,2.47,68.12,126.65,4474.44,2406.58,0.3,5.39,5.53,7.47,0.25,0.28,0.096694002,9.646110576,3.804801898,3.335038245,7.180023882,2.077055146,8861.241756,10855.88989
4053.25,2.46,69.3,129.03,4398.31,2362.23,0.3,5.16,5.29,7.23,0.25,0.28,0.104770002,9.350424386,3.694016894,3.235538578,6.898483963,1.989887205,8899.071418,10893.78106
4053.38,2.46,69.99,129.91,4354.96,2346.27,0.3,5.09,5.21,7.16,0.25,0.28,0.114610004,9.222037261,3.615247035,3.161005107,6.768680687,1.96467571,8882.634516,10877.40568
4053.5,2.48,69.68,129.66,4374.43,2350.8,0.3,5.15,5.28,7.23,0.25,0.28,0.125970001,9.343365183,3.684642896,3.225396911,6.873747015,1.985101576,8901.3807,10896.21338
4053.63,2.49,68.92,129.05,4422.32,2361.87,0.3,5.25,5.39,7.35,0.25,0.28,0.139939995,9.568023563,3.827716734,3.359865351,7.07900004,2.019223633,8946.314881,10941.20907
4053.75,2.51,68.47,127.95,4451.44,2382.1,0.3,5.37,5.52,7.48,0.25,0.28,0.185475998,9.723581694,3.875993993,3.401796282,7.218528988,2.067120109,8918.706398,10913.66211
4053.88,2.51,68.21,125.94,4468.3,2420.25,0.29,5.51,5.65,7.63,0.25,0.28,0.238487988,9.770554173,3.793619365,3.316977621,7.267530308,2.132164254,8795.948251,10790.96547
4054,2.49,68.25,123.25,4465.95,2473.08,0.28,5.66,5.77,7.77,0.23,0.27,0.22184,9.704524088,3.576379187,3.100211005,7.216456719,2.212952023,8574.085375,10569.16412
