Depth (m),Density (g/cc),DTCO (us/ft),DTSM (us/ft),Vp(0) (m/s),Vs(0) (m/s),v_iso_d,E_iso_d (Mpsi),Ev_d (Mpsi),Eh_d (Mpsi),vv_d,vh_d,Porosity,C11,C12,C13,C33,C44,Min Stress,Max Stress
3748.25,2.51,75.35,131.35,4045.11,2320.45,0.25,4.92,4.95,7.03,0.21,0.25,0.142771997,8.44719215,2.815330769,2.384374642,5.958468089,1.96073612,7701.906564,9546.517784
3748.38,2.51,75.43,132.38,4040.75,2302.54,0.26,4.87,4.9,6.98,0.22,0.25,0.713860016,8.44076426,2.865713193,2.43511232,5.950389385,1.932127349,7771.654189,9616.326925
3748.5,2.51,74.12,132.05,4112.03,2308.24,0.27,4.94,4.99,7.04,0.22,0.26,0.715299988,8.664412817,3.065435331,2.627026287,6.167057965,1.943250172,7900.182856,9744.917108
3748.63,2.51,72.81,131.4,4186.51,2319.68,0.28,5,5.08,7.1,0.23,0.26,0.71096199,8.865743939,3.24550345,2.800620513,6.372147891,1.956307726,8004.13241,9848.928177
3748.75,2.5,72,130.94,4233.37,2327.81,0.28,5.05,5.13,7.14,0.24,0.27,0.70156601,8.993318945,3.356486165,2.90752974,6.502600383,1.966111942,8062.814706,9907.67199
3748.88,2.49,71.93,130.93,4237.73,2327.95,0.28,5.02,5.11,7.11,0.24,0.27,0.687952042,8.960078041,3.352050588,2.904973019,6.482132651,1.956136144,8070.879642,9915.798441
3749,2.47,72.4,131.03,4209.98,2326.27,0.28,4.97,5.05,7.05,0.23,0.27,0.671080017,8.820803215,3.252287142,2.810786056,6.358953903,1.941531103,8024.170952,9869.151267
3749.13,2.48,73.32,131.04,4157.05,2326.05,0.27,4.95,5.01,7.03,0.23,0.26,0.653736038,8.683805806,3.100283558,2.662996994,6.217597443,1.946654004,7919.299627,9764.341457
3749.25,2.5,74.56,131.04,4088.02,2325.94,0.26,4.94,4.98,7.04,0.22,0.25,0.634939995,8.52951491,2.910342743,2.477330821,6.051606304,1.959029218,7774.477519,9619.580865
3749.38,2.52,75.29,131.29,4048.38,2321.52,0.26,4.95,4.98,7.07,0.21,0.25,0.614216003,8.494159907,2.833942704,2.400742968,5.994280453,1.971139728,7706.823053,9551.987915
3749.5,2.53,75.33,132.12,4046.38,2307.05,0.26,4.93,4.96,7.05,0.22,0.25,0.591625977,8.528490379,2.891291955,2.456456748,6.016863672,1.955922355,7766.523638,9611.750016
3749.63,2.53,75.53,132.92,4035.28,2293.15,0.26,4.86,4.9,6.98,0.22,0.25,0.567770004,8.467834431,2.896116441,2.46393013,5.964996438,1.926312527,7803.591827,9648.879721
3749.75,2.5,75.35,133.28,4045.21,2286.84,0.27,4.81,4.85,6.9,0.22,0.25,0.528474007,8.427294629,2.923316376,2.493715543,5.944512342,1.899787265,7853.163995,9698.513405
3749.88,2.51,74.84,133.9,4072.5,2276.34,0.27,4.8,4.86,6.9,0.23,0.26,0.315334015,8.530179419,3.048568341,2.615040917,6.03944714,1.886906067,7956.857121,9802.268046
3750,2.5,74.49,135.13,4091.86,2255.55,0.28,4.73,4.8,6.81,0.23,0.26,0.165030003,8.547998873,3.162392946,2.728641396,6.067846904,1.843732049,8085.088324,9930.560765
3750.13,2.49,74.9,136.19,4069.61,2237.99,0.28,4.65,4.72,6.73,0.23,0.27,0.138048,8.470477275,3.149842821,2.718652851,5.99483401,1.812964147,8114.567298,9960.101254
3750.25,2.49,75.72,137.31,4025.4,2219.74,0.28,4.57,4.63,6.64,0.23,0.26,0.11868,8.32759525,3.07379085,2.647426502,5.858239273,1.781360025,8102.694142,9948.289614
3750.38,2.49,76.42,138.91,3988.52,2194.28,0.28,4.46,4.52,6.52,0.23,0.26,0.105360003,8.201199118,3.041460014,2.619106844,5.73983272,1.737239933,8136.60588,9982.262868
3750.5,2.49,76.73,140.44,3972.19,2170.25,0.29,4.38,4.45,6.44,0.24,0.27,0.092807999,8.162719403,3.075055014,2.652939211,5.69980966,1.701456608,8206.941608,10052.66011
3750.63,2.51,76.56,141.04,3981.27,2161.02,0.29,4.39,4.46,6.46,0.24,0.27,0.079916,8.248798541,3.154521296,2.727851835,5.76728012,1.699197328,8265.049264,10110.82928
3750.75,2.51,75.67,139.52,4028.17,2184.62,0.29,4.48,4.56,6.56,0.24,0.27,0.066332002,8.382696046,3.215293146,2.784891146,5.899248328,1.735134161,8258.3331,10104.17464
3750.88,2.51,74.19,136.74,4108.38,2229.02,0.29,4.67,4.76,6.75,0.24,0.27,0.052459998,8.62915377,3.312860824,2.875111108,6.138984375,1.807101099,8229.942826,10075.84588
3751,2.5,72.89,134.18,4181.76,2271.61,0.29,4.84,4.93,6.93,0.24,0.27,0.044907999,8.844003664,3.391467672,2.947243404,6.352633484,1.874572224,8196.511894,10042.47646
3751.13,2.49,72.07,131.18,4229.06,2323.48,0.28,5.01,5.1,7.1,0.24,0.27,0.032028,8.951175322,3.347133869,2.900093648,6.468599132,1.952544567,8077.129004,9923.155087
3751.25,2.49,72.08,127.54,4228.91,2389.87,0.27,5.22,5.28,7.33,0.22,0.26,0.015220001,8.943526625,3.115521795,2.667411716,6.462948357,2.064064799,7804.357989,9650.445587
3751.38,2.49,72.17,125.25,4223.51,2433.49,0.25,5.35,5.39,7.47,0.21,0.25,0.001,8.923241413,2.945038379,2.495538422,6.443882968,2.139245167,7609.466574,9455.615688
3751.5,2.48,71.78,125.42,4246.51,2430.21,0.26,5.35,5.4,7.46,0.21,0.25,0.001,8.976449599,3.021796701,2.571162739,6.501154309,2.129182695,7672.75665,9518.96728
3751.63,2.48,71.26,125.48,4277.15,2429.17,0.26,5.36,5.42,7.47,0.22,0.26,0.001,9.064375155,3.118157443,2.664959844,6.590005368,2.125650021,7741.266195,9587.53834
3751.75,2.48,70.74,125.31,4308.95,2432.45,0.27,5.39,5.46,7.49,0.22,0.26,0.001,9.156269203,3.203323645,2.747212842,6.682970866,2.129689884,7792.767711,9639.101372
3751.88,2.48,70.5,125.32,4323.5,2432.17,0.27,5.39,5.47,7.48,0.22,0.26,0.001,9.183301971,3.243357167,2.786758354,6.714629499,2.124896496,7823.328517,9669.723695
3752,2.5,70.81,125.19,4304.61,2434.73,0.26,5.43,5.5,7.54,0.22,0.26,0.001,9.197982685,3.201016306,2.742453556,6.709846175,2.146577282,7775.220427,9621.67712
3752.13,2.51,71.18,125.03,4281.92,2437.86,0.26,5.45,5.5,7.57,0.22,0.26,0.001,9.163341615,3.131262689,2.67291954,6.665899949,2.160717564,7716.144875,9562.663084
3752.25,2.52,71.25,124.97,4277.85,2438.98,0.26,5.48,5.54,7.62,0.22,0.25,0.001,9.208979668,3.134382449,2.673448929,6.695722537,2.176515189,7703.310858,9549.890582
3752.38,2.53,71.26,124.65,4277,2445.21,0.26,5.51,5.57,7.66,0.22,0.25,0.001,9.22818679,3.116828706,2.65450977,6.708978106,2.192849403,7675.865635,9522.506875
3752.5,2.52,70.65,123.33,4313.95,2471.43,0.26,5.61,5.66,7.74,0.21,0.25,0.286863995,9.312398141,3.128745251,2.662742801,6.80108784,2.232163607,7644.305523,9491.008279
3752.63,2.52,69.51,121.49,4385.1,2508.77,0.26,5.78,5.84,7.92,0.22,0.25,0.723731995,9.532372915,3.218569278,2.743219197,7.021720908,2.298302114,7638.109529,9484.873801
3752.75,2.51,68.64,120.46,4440.75,2530.27,0.26,5.87,5.95,8,0.22,0.26,0.756019974,9.681231161,3.309354846,2.828388478,7.178179835,2.330415988,7664.057509,9510.883296
3752.88,2.52,68.09,119.63,4476.66,2547.8,0.26,5.98,6.07,8.13,0.22,0.26,0.697708054,9.844584565,3.377806338,2.889513848,7.3296261,2.374131914,7665.831973,9512.719276
3753,2.53,67.77,118.68,4497.35,2568.28,0.26,6.09,6.17,8.24,0.22,0.26,0.620964012,9.943799549,3.380631614,2.886780532,7.421008028,2.420098608,7626.023426,9472.972245
3753.13,2.52,67.91,118.59,4488.11,2570.15,0.26,6.07,6.15,8.22,0.22,0.26,0.539760017,9.889884654,3.33533645,2.843315157,7.373002542,2.417882495,7600.483403,9447.493738
3753.25,2.51,68.76,119.12,4432.96,2558.86,0.25,5.95,6.01,8.09,0.21,0.25,0.462047997,9.644501038,3.175652454,2.693206289,7.144460675,2.380535762,7534.190443,9381.262293
3753.38,2.5,69.4,119.05,4391.81,2560.26,0.24,5.92,5.96,8.06,0.2,0.25,0.389760017,9.504586096,3.03577106,2.557329798,7.006825026,2.381234628,7442.477825,9289.611191
3753.5,2.5,69.27,117.93,4399.86,2584.53,0.24,5.98,6.02,8.12,0.2,0.24,0.389280014,9.499940426,2.962678693,2.482301874,7.010079042,2.418838423,7359.313353,9206.508235
3753.63,2.5,69.18,117.21,4405.79,2600.5,0.23,6.04,6.07,8.18,0.2,0.24,0.392411995,9.51889226,2.922654838,2.439804152,7.028979528,2.448822967,7305.866051,9153.122448
3753.75,2.5,69.23,117.86,4402.81,2586.15,0.24,6,6.04,8.14,0.2,0.24,0.394792023,9.524600226,2.970849387,2.489245805,7.030722338,2.425769491,7359.404153,9206.722066
3753.88,2.51,69.35,120.14,4395.15,2536.98,0.25,5.85,5.91,7.99,0.21,0.25,0.396256027,9.52668297,3.135390903,2.658446057,7.025894437,2.340934201,7546.294791,9393.67422
3754,2.52,69.9,121.16,4360.81,2515.73,0.25,5.79,5.84,7.94,0.21,0.25,0.400839996,9.469452485,3.120240872,2.645836421,6.955160064,2.314744607,7562.161772,9409.602717
3754.13,2.53,70.55,120.5,4320.14,2529.48,0.24,5.82,5.86,7.99,0.2,0.24,0.405792007,9.380250421,2.95286151,2.478908632,6.855824778,2.350315127,7417.876066,9265.378526
3754.25,2.52,70.72,119.79,4310.2,2544.45,0.23,5.83,5.85,7.98,0.2,0.24,0.407840004,9.293109852,2.848895466,2.377122657,6.783890275,2.364140446,7332.409448,9179.973425
3754.38,2.51,71.07,118.98,4288.7,2561.76,0.22,5.83,5.85,7.98,0.19,0.23,0.403251991,9.184686481,2.705175676,2.235461148,6.687036386,2.385938257,7209.034249,9056.659741
3754.5,2.51,71.27,118.8,4276.41,2565.67,0.22,5.84,5.85,8,0.19,0.23,0.389459991,9.16062645,2.656369568,2.186528144,6.659374365,2.397047563,7163.541734,9011.228742
3754.63,2.53,70.61,119.84,4316.81,2543.31,0.23,5.85,5.88,8.01,0.2,0.24,0.365060005,9.343697676,2.883221184,2.409467064,6.826333316,2.369520017,7352.784347,9200.53287
3754.75,2.53,69.92,120.75,4359.26,2524.24,0.25,5.83,5.88,7.99,0.21,0.25,0.323131981,9.494519808,3.093996752,2.617454322,6.972274679,2.337811477,7525.265224,9373.075263
3754.88,2.52,69.97,120.9,4356.35,2521.11,0.25,5.81,5.86,7.95,0.21,0.25,0.273973999,9.458926701,3.087545984,2.612885157,6.943712943,2.325574494,7532.316791,9380.188346
3755,2.52,70.2,120.88,4342.08,2521.55,0.25,5.79,5.83,7.94,0.21,0.25,0.220722008,9.402040722,3.03663264,2.563833019,6.890087835,2.323618647,7500.404711,9348.337782
3755.13,2.53,69.5,119.92,4385.53,2541.75,0.25,5.91,5.97,8.07,0.21,0.25,0.169277992,9.582979977,3.115459867,2.634567735,7.059355605,2.371304547,7509.079995,9357.074581
3755.25,2.55,68.35,118.46,4459.61,2573.02,0.25,6.13,6.19,8.3,0.21,0.25,0.128310003,9.905424244,3.267382434,2.772246737,7.360475919,2.450170338,7535.713318,9383.769421
3755.38,2.56,67.56,117.3,4511.64,2598.51,0.25,6.28,6.36,8.47,0.21,0.25,0.107589998,10.11728927,3.356811103,2.85194377,7.562727531,2.508759976,7539.53789,9387.655508
3755.5,2.55,67.54,116.7,4513.17,2611.79,0.25,6.3,6.37,8.48,0.21,0.25,0.097351999,10.07498074,3.295906768,2.791631311,7.532407389,2.522598438,7489.97781,9338.156943
3755.63,2.53,67.69,116.92,4502.59,2607.02,0.25,6.23,6.29,8.39,0.21,0.25,0.096868,9.96497557,3.254402936,2.755438738,7.441236863,2.494642452,7487.747862,9335.988512
3755.75,2.52,67.59,117.59,4509.48,2591.97,0.25,6.16,6.23,8.31,0.21,0.25,0.105176001,9.952186771,3.321721197,2.825701413,7.437499757,2.457156077,7561.947011,9410.249176
3755.88,2.52,68.2,118.75,4469.29,2566.71,0.25,6.05,6.12,8.2,0.21,0.25,0.121079998,9.828297188,3.286513041,2.796600481,7.311310377,2.411409414,7581.982488,9430.346169
3756,2.53,69.81,120.9,4366.33,2521.06,0.25,5.83,5.88,7.98,0.21,0.25,0.143255997,9.517290455,3.128413403,2.651498343,6.994929625,2.331934502,7555.800387,9404.225584
3756.13,2.53,70.84,122.27,4302.88,2492.91,0.25,5.68,5.72,7.83,0.21,0.25,0.17048399,9.299363432,3.023224798,2.555522281,6.782365646,2.276543099,7538.617873,9387.104586
3756.25,2.52,70.95,122.21,4295.75,2494.08,0.25,5.67,5.71,7.81,0.21,0.25,0.19048399,9.261998457,2.991578159,2.525196401,6.749189815,2.275061499,7518.591003,9367.139231
3756.38,2.52,70.5,120.98,4323.59,2519.44,0.24,5.76,5.8,7.91,0.2,0.25,0.199401989,9.339360617,2.984204755,2.513517971,6.828810509,2.318798756,7472.216744,9320.826488
3756.5,2.52,69.72,119.16,4371.87,2557.88,0.24,5.93,5.97,8.08,0.2,0.24,0.201809998,9.501202206,2.999824266,2.520409828,6.987734146,2.392006349,7415.762683,9264.433943
3756.63,2.53,69.32,118.52,4396.96,2571.82,0.24,6.01,6.05,8.17,0.2,0.24,0.199882011,9.600935223,3.035010451,2.550799866,7.082172975,2.422934439,7412.027057,9260.759833
3756.75,2.53,68.9,118.08,4423.58,2581.38,0.24,6.07,6.12,8.23,0.2,0.25,0.19715601,9.694835286,3.088110832,2.599987748,7.173882088,2.442922696,7429.567368,9278.361659
3756.88,2.52,68.56,117.37,4445.93,2596.92,0.24,6.12,6.17,8.27,0.2,0.25,0.196639996,9.740504583,3.094198283,2.603553903,7.226473682,2.465574245,7413.35019,9262.205997
3757,2.52,69.47,117.71,4387.71,2589.43,0.23,6.03,6.07,8.19,0.2,0.24,0.19701601,9.533165245,2.927906959,2.444368969,7.024477276,2.446516105,7319.133659,9168.050981
3757.13,2.51,70.24,118.62,4339.25,2569.63,0.23,5.92,5.95,8.07,0.19,0.24,0.192639999,9.370639532,2.843985753,2.36753118,6.864727598,2.407327695,7295.60716,9144.585999
3757.25,2.51,70.28,120.12,4337.19,2537.52,0.24,5.82,5.86,7.97,0.2,0.24,0.185144005,9.367782052,2.956652974,2.483694036,6.860916171,2.348477037,7427.346697,9276.387051
3757.38,2.52,69.53,121.48,4383.96,2509.08,0.26,5.79,5.85,7.93,0.22,0.25,0.17860199,9.547611567,3.220137197,2.743926107,7.031986069,2.30343621,7644.169866,9493.271736
3757.5,2.54,68.68,121.33,4437.81,2512.21,0.26,5.88,5.96,8.04,0.22,0.26,0.174785995,9.791202026,3.407091305,2.92203921,7.257229865,2.325659833,7739.903943,9589.067329
3757.63,2.53,68.31,120.59,4462.34,2527.68,0.26,5.93,6.02,8.08,0.22,0.26,0.175128002,9.840561889,3.419797726,2.932600891,7.314574605,2.346969882,7727.007291,9576.232193
3757.75,2.51,68.5,120.45,4449.68,2530.46,0.26,5.89,5.97,8.03,0.22,0.26,0.180720005,9.729491791,3.344206125,2.861421226,7.221445724,2.3354194,7691.270211,9540.556628
3757.88,2.5,69.5,120.4,4385.72,2531.61,0.25,5.81,5.87,7.94,0.21,0.25,0.183616009,9.473755158,3.117323653,2.642907331,6.979055441,2.325446289,7556.739661,9406.087595
3758,2.5,71.2,120.17,4280.96,2536.35,0.23,5.73,5.75,7.87,0.19,0.24,0.178915997,9.131084134,2.765012399,2.300291169,6.641645333,2.331380123,7308.521478,9157.930927
3758.13,2.51,72.16,120.73,4223.68,2524.64,0.22,5.66,5.67,7.81,0.19,0.23,0.169276009,8.977507641,2.636239156,2.176593108,6.48320625,2.316375779,7227.220485,9076.69145
3758.25,2.54,72.32,121.27,4214.62,2513.44,0.22,5.7,5.71,7.87,0.19,0.23,0.157348003,9.07438048,2.685760398,2.221671583,6.545624688,2.327932955,7255.770655,9105.303135
3758.38,2.54,72.23,121.19,4219.69,2514.97,0.22,5.71,5.72,7.89,0.19,0.23,0.145780001,9.097512458,2.698231654,2.233158884,6.566541793,2.332604554,7261.145077,9110.739073
3758.5,2.55,72.26,121.09,4218.32,2517.2,0.22,5.73,5.73,7.91,0.19,0.23,0.139035997,9.107496208,2.68990967,2.224003494,6.572603042,2.340428277,7248.276184,9097.931696
3758.63,2.54,71.81,120.94,4244.73,2520.34,0.23,5.75,5.76,7.92,0.19,0.24,0.140241995,9.165894312,2.754393783,2.287029802,6.636878373,2.339823843,7296.297446,9146.014474
3758.75,2.52,71.16,120.87,4283.21,2521.7,0.23,5.75,5.77,7.9,0.2,0.24,0.144337997,9.225928489,2.852410973,2.384510009,6.712500888,2.326652649,7378.28466,9228.063203
3758.88,2.52,71.15,121.18,4283.66,2515.36,0.24,5.72,5.75,7.87,0.2,0.24,0.148554001,9.212710406,2.872404801,2.405814552,6.703255413,2.311309121,7406.712785,9256.552845
3759,2.5,71.3,121.83,4274.94,2501.94,0.24,5.63,5.66,7.76,0.2,0.24,0.152410002,9.115856011,2.871868752,2.41082832,6.625613399,2.269443451,7445.087339,9294.988914
3759.13,2.48,71.26,121.73,4277.48,2503.88,0.24,5.6,5.63,7.72,0.2,0.24,0.150481997,9.072727469,2.856771309,2.397907884,6.596353993,2.26022873,7442.686172,9292.649263
3759.25,2.48,70.7,121.29,4311.31,2513,0.24,5.65,5.68,7.76,0.2,0.24,0.145662003,9.159970649,2.923848544,2.461981459,6.687608144,2.272143028,7478.437381,9328.461987
3759.38,2.49,70.05,121.43,4351.36,2510.08,0.25,5.69,5.75,7.81,0.21,0.25,0.139398003,9.323115128,3.072345177,2.605148777,6.83990401,2.276013814,7576.536277,9426.622399
3759.5,2.52,69.51,121.34,4384.94,2511.86,0.26,5.78,5.85,7.92,0.21,0.25,0.13217,9.528077173,3.205573557,2.730166131,7.018424485,2.303037473,7639.221505,9489.369143
3759.63,2.55,68.63,121,4441.4,2518.95,0.26,5.92,6,8.09,0.22,0.26,0.12349,9.829984363,3.403419627,2.916112866,7.28902226,2.344604625,7724.537788,9574.746941
3759.75,2.55,68.12,120.25,4474.29,2534.73,0.26,6.02,6.1,8.19,0.22,0.26,0.123753996,9.965589068,3.462850028,2.969633926,7.417697784,2.380589094,7726.910092,9577.180762
3759.88,2.55,68.34,119.62,4460.31,2548.14,0.26,6.05,6.12,8.22,0.22,0.26,0.125956001,9.91160915,3.364053253,2.871273965,7.365664701,2.403962242,7646.276465,9496.60865
3760,2.55,69.15,119.77,4407.61,2544.98,0.25,5.98,6.04,8.15,0.21,0.25,0.130052004,9.715528369,3.19512564,2.708791418,7.175722853,2.392360753,7551.810531,9402.204231
3760.13,2.54,69.64,120.93,4376.72,2520.46,0.25,5.87,5.93,8.03,0.21,0.25,0.135193996,9.603643844,3.181626468,2.701139112,7.067166271,2.34371996,7588.304918,9438.760134
3760.25,2.55,70.11,122.81,4347.16,2481.78,0.26,5.73,5.8,7.9,0.22,0.25,0.139729996,9.530448375,3.235378523,2.759820646,6.98847807,2.27771155,7686.170579,9536.687312
3760.38,2.53,71.24,125.15,4278.24,2435.39,0.26,5.48,5.54,7.62,0.22,0.26,0.132922001,9.232102752,3.155901673,2.69403999,6.712853982,2.175271954,7735.735793,9586.314041
3760.5,2.52,73.34,128.22,4156,2377.19,0.26,5.19,5.23,7.32,0.21,0.25,0.130439997,8.820624669,2.969266561,2.523768495,6.314696606,2.065996866,7723.235637,9573.875401
3760.63,2.5,75.88,133.01,4016.68,2291.52,0.26,4.8,4.83,6.9,0.22,0.25,0.130595999,8.334859812,2.819404313,2.393087022,5.856293509,1.906060423,7792.435242,9643.136521
3760.75,2.49,77.98,140.39,3908.72,2171.14,0.28,4.34,4.39,6.4,0.23,0.26,0.134021997,7.966382322,2.88198498,2.467425348,5.512448192,1.700789294,8092.285741,9943.048536
3760.88,2.49,79.93,147.02,3813.17,2073.14,0.29,4,4.06,6.04,0.24,0.27,0.143669996,7.692819115,2.919413051,2.509171323,5.24835949,1.551337967,8326.834736,10177.65905
3761,2.49,81.31,149.51,3748.8,2038.62,0.29,3.87,3.93,5.9,0.24,0.26,0.158133993,7.515152165,2.845879771,2.439666395,5.076739616,1.501317119,8346.106385,10196.99221
3761.13,2.51,82.01,150.31,3716.6,2027.88,0.29,3.85,3.9,5.89,0.23,0.26,0.170737991,7.477673059,2.80824214,2.401820364,5.025962724,1.496274451,8325.818901,10176.76624
3761.25,2.51,81.8,150.26,3725.93,2028.53,0.29,3.87,3.92,5.91,0.24,0.26,0.182578011,7.513209155,2.836142651,2.4282026,5.057289405,1.499033496,8343.443234,10194.45209
3761.38,2.51,80.82,149.7,3771.12,2036.12,0.29,3.91,3.97,5.95,0.24,0.27,0.191848011,7.639530538,2.940577931,2.528227459,5.178643408,1.509671567,8405.7137,10256.78407
3761.5,2.51,79.58,148.48,3830.14,2052.77,0.3,3.98,4.06,6.03,0.24,0.27,0.193840008,7.806969458,3.057629289,2.640094735,5.339878078,1.533840368,8453.725482,10304.85737
3761.63,2.5,79.35,145.88,3841.32,2089.38,0.29,4.08,4.15,6.13,0.24,0.27,0.190263996,7.81135935,2.963483326,2.549336625,5.351834816,1.58334441,8315.127584,10166.32099
3761.75,2.5,79.05,142.88,3855.91,2133.19,0.28,4.22,4.27,6.28,0.23,0.26,0.180909996,7.847445925,2.863442223,2.450969014,5.388251644,1.649118491,8150.282378,10001.5373
3761.88,2.5,77.39,140.54,3938.61,2168.73,0.28,4.38,4.43,6.44,0.23,0.26,0.165374012,8.096047352,2.992928708,2.572784412,5.626347775,1.705885816,8169.019036,10020.33547
3762,2.49,75.71,137.55,4025.78,2215.89,0.28,4.56,4.62,6.63,0.23,0.26,0.145346003,8.332060188,3.08884545,2.662152712,5.861683694,1.775901637,8145.356878,9996.734831
3762.13,2.49,74.24,134.07,4105.61,2273.4,0.28,4.77,4.83,6.84,0.23,0.26,0.124610004,8.548491493,3.129159108,2.69626155,6.079357267,1.864031271,8063.726447,9915.165915
3762.25,2.48,72.02,130.71,4231.95,2331.92,0.28,5.02,5.11,7.11,0.23,0.27,0.105722008,8.92779232,3.315290116,2.869496742,6.454061073,1.959646981,8072.394262,9923.895246
3762.38,2.48,69.72,125.71,4371.64,2424.61,0.28,5.41,5.51,7.51,0.23,0.27,0.09125,9.360972576,3.430708831,2.968433445,6.884411863,2.117685974,7969.449551,9821.012051
3762.5,2.51,68.79,122.42,4430.88,2489.82,0.27,5.73,5.82,7.85,0.23,0.26,0.082653999,9.645469255,3.422720199,2.94616457,7.143440557,2.255616587,7825.499903,9677.123919
3762.63,2.52,68.43,120.8,4454.07,2523.16,0.26,5.89,5.97,8.03,0.22,0.26,0.079854002,9.778623038,3.397235515,2.912951551,7.261600426,2.330271333,7738.972342,9590.657873
3762.75,2.54,67.94,118.06,4486.11,2581.76,0.25,6.16,6.23,8.33,0.21,0.25,0.081230001,9.957767125,3.310395763,2.813573824,7.421916641,2.458149846,7569.608903,9421.35595
3762.88,2.56,67.98,115.47,4483.78,2639.69,0.23,6.39,6.43,8.58,0.2,0.24,0.085598001,10.0126933,3.103135399,2.595987173,7.460865541,2.585863197,7330.336014,9182.144577
3763,2.55,68.96,114.48,4420.19,2662.58,0.22,6.38,6.39,8.58,0.18,0.23,0.095869999,9.775796185,2.79731525,2.293675949,7.230917933,2.623711452,7094.120189,8945.990268
3763.13,2.54,69.95,115.21,4357.44,2645.54,0.21,6.22,6.23,8.41,0.18,0.22,0.104102001,9.51869809,2.643586909,2.150684287,6.988505738,2.576019412,7021.607559,8873.539154
3763.25,2.52,70.02,116.18,4353.2,2623.4,0.21,6.11,6.12,8.28,0.18,0.23,0.108666,9.433827235,2.693640577,2.208052664,6.922659039,2.514122738,7108.100189,8960.093299
3763.38,2.52,68.67,116.02,4438.31,2627.15,0.23,6.2,6.24,8.36,0.19,0.24,0.114250002,9.70804848,2.953774439,2.460278732,7.196023113,2.521309384,7284.749443,9136.804069
3763.5,2.53,67.93,115.94,4486.84,2628.99,0.24,6.28,6.33,8.44,0.2,0.24,0.111042004,9.901416933,3.116050445,2.616249747,7.380535436,2.533868178,7381.804378,9233.920519
3763.63,2.53,68.05,116.48,4479.12,2616.72,0.24,6.24,6.3,8.41,0.2,0.25,0.103010006,9.895604666,3.143171935,2.644699687,7.369685739,2.515237395,7415.761076,9267.938734
3763.75,2.53,67.71,116.5,4501.29,2616.28,0.24,6.25,6.31,8.41,0.21,0.25,0.093129997,9.948910331,3.21147558,2.712055233,7.428151353,2.509422523,7464.035096,9316.274269
3763.88,2.51,66.83,115.44,4561.14,2640.28,0.25,6.34,6.41,8.48,0.21,0.25,0.083372002,10.07854392,3.296412295,2.791894253,7.575664285,2.538479325,7490.667473,9342.968162
3764,2.51,66.2,114.52,4604.5,2661.46,0.25,6.43,6.52,8.58,0.21,0.25,0.074699998,10.20590483,3.354757807,2.844311316,7.708099946,2.575261594,7494.519336,9346.88154
3764.13,2.51,66.14,114.01,4608.56,2673.54,0.25,6.48,6.56,8.63,0.21,0.25,0.082411995,10.22752249,3.32512037,2.812168425,7.727843965,2.600774932,7455.51377,9307.937491
3764.25,2.51,66.48,113.37,4585.08,2688.55,0.24,6.51,6.57,8.66,0.2,0.25,0.102412004,10.1415522,3.187642796,2.674853008,7.643217329,2.627948612,7348.534061,9201.019297
3764.38,2.49,66.5,112.96,4583.26,2698.25,0.23,6.51,6.57,8.65,0.2,0.24,0.128319998,10.09102759,3.130819854,2.618911255,7.603613279,2.635326642,7306.194744,9158.741496
3764.5,2.49,65.86,112.74,4627.89,2703.5,0.24,6.55,6.63,8.69,0.2,0.25,0.156730003,10.21801421,3.251809641,2.736323788,7.736884438,2.640297414,7377.555571,9230.163839
3764.63,2.49,65.56,112.37,4649.02,2712.45,0.24,6.59,6.67,8.72,0.2,0.25,0.187210007,10.27567,3.283838898,2.765761337,7.798273312,2.654614852,7385.423973,9238.093756
3764.75,2.49,66.09,113.08,4612.04,2695.47,0.24,6.51,6.58,8.64,0.2,0.25,0.130290003,10.15745519,3.227278038,2.714809484,7.677814751,2.622536408,7377.421143,9230.152443
3764.88,2.5,67.38,115.01,4523.78,2650.28,0.24,6.3,6.36,8.44,0.2,0.24,0.104899998,9.904052217,3.119555026,2.619542947,7.41348509,2.54449728,7375.795772,9228.588587
3765,2.5,68.15,115.99,4472.39,2627.84,0.24,6.2,6.25,8.35,0.2,0.24,0.092980003,9.764346554,3.045049583,2.551222452,7.266327079,2.508605645,7358.754106,9211.608436
3765.13,2.49,68.73,117.18,4434.51,2601.16,0.24,6.06,6.1,8.19,0.2,0.24,0.085455999,9.599440446,3.008662373,2.523771136,7.112364707,2.44713597,7387.785979,9240.701825
3765.25,2.49,69.32,118.82,4396.87,2565.19,0.24,5.9,5.95,8.02,0.2,0.25,0.08224,9.459971783,3.014470346,2.538095049,6.97811915,2.375152427,7456.365709,9309.343071
3765.38,2.48,69.44,119.81,4389.21,2543.94,0.25,5.81,5.86,7.92,0.21,0.25,0.083095999,9.405264607,3.05764981,2.585708837,6.931471923,2.328441899,7528.319437,9381.358315
3765.5,2.49,69.38,120.18,4393.12,2536.3,0.25,5.81,5.87,7.93,0.21,0.25,0.085812006,9.459430016,3.111411248,2.637762933,6.97462266,2.324739023,7568.248362,9421.348756
3765.63,2.51,69.44,120.06,4389.65,2538.77,0.25,5.87,5.92,8.01,0.21,0.25,0.089144001,9.528025921,3.117452642,2.639894326,7.022308357,2.348905877,7551.069044,9404.230954
